roi,gmv,gross_margin,cost
3.5961443397870116,114104.11658544512,17115.61748781677,4759.435626221409
4.31960525749601,100975.26592505549,15146.289888758321,3506.406022280454
2.191673985033539,43798.24747042591,6569.737120563886,2997.5886767042816
3.127102078990126,116587.28276547404,17488.092414821105,5592.427740788287
4.965476059867083,204703.96351551218,30705.594527326826,6183.816850009899
4.214429622456278,114579.7113924514,17186.95670886771,4078.121655487679
4.083520545150969,266599.1084705254,39989.86627057881,9792.98765083117
3.8106311595708973,103051.49670436248,15457.72450565437,4056.473549488063
2.6394641790300044,65978.93246593332,9896.839869889998,3749.564001860051
0.23739100435736105,7845.427387167059,1176.8141080750588,4957.281811334011
3.7475535595546994,134593.73550148908,20189.06032522336,5387.263985527217
2.644151478864443,132008.0518684727,19801.207780270906,7488.681317446582
3.167346022954325,91379.11785083404,13706.867677625105,4327.556123735448
3.98141445903601,206883.906282935,31032.585942440248,7794.362094609445
4.440633896620634,106640.86489766219,15996.129734649328,3602.217635374657
3.9085157346423474,152035.04309932175,22805.256464898262,5834.761329670093
4.438744134805762,134600.6705301589,20190.100579523834,4548.606535169738
3.388768873041681,78691.02800779673,11803.65420116951,3483.1688567107326
3.376817292144499,77588.84564092706,11638.326846139058,3446.5373276822925
3.3017140398976235,118225.82213181524,17733.873319772283,5371.111218439183
5.1638465513653165,186741.69353355106,28011.25403003266,5424.493882883973
3.9177488012478086,110430.25828268164,16564.538742402245,4228.075760530235
5.987975900625293,186186.3009525544,27927.945142883156,4664.004265609484
4.1658875459395315,153966.73256487597,23095.009884731397,5543.83900910671
1.1851354050499758,29415.921779381337,4412.3882669072,3723.1089781856062
3.4678373851561295,130968.46332954889,19645.269499432332,5664.991554541379
3.622446146484246,120851.23277281667,18127.6849159225,5004.266228641181
3.21671540371976,69121.94308089787,10368.291462134679,3223.2542083595417
2.1233110456280495,36962.68120142761,5544.402180214141,2611.205829513393
3.862007366756492,127727.37298594024,19159.105947891036,4960.9190580032
3.469894057153954,66037.74489590051,9905.661734385076,2854.7447187796306
1.571461568951414,45096.262867328354,6764.439430099253,4304.5528848745225
1.5645033733301776,40612.37315315205,6091.855972972808,3893.7953582073637
3.9188502669370786,120300.7122226422,18045.10683339633,4604.6941332872475
3.426958838477813,77874.6981172012,11681.20471758018,3408.6212493782796
2.674081004332654,90641.83108743085,13596.274663114627,5084.466267508499
5.324018772403514,144745.2228302863,21711.783424542944,4078.081680906849
3.7061995461809114,78263.95179149299,11739.592768723947,3167.5555032704924
3.1488654379637935,84353.20920701632,12652.981381052448,4018.266779044858
3.7630213301021587,78491.9184813823,11773.787772207344,3128.8123928565956
2.5482697827100167,58105.40351991755,8715.810527987633,3420.285633461698
3.3547852262362117,70629.36069362571,10594.404104043857,3157.997722533759
3.4153275272871717,115880.59459904741,17382.08918985711,5089.435508302149
3.1313343400674816,23330.383599285542,3499.5575398928313,1117.5930641176485
1.934667894287929,80256.09803780653,12038.414705670979,6222.470916695405
3.112993067456193,96251.92746755571,14437.789120133357,4637.912390833338
3.369238514929641,127159.47974761631,19073.921962142445,5661.196699973247
1.6993803080093497,48495.08049423238,7274.262074134857,4280.538052518634
2.940345191776489,69370.26555534147,10405.53983330122,3538.8837550105577
3.78979439908809,179497.13418504727,26924.570127757088,7104.493619557765
1.6928994909607984,50249.019327606045,7537.352899140907,4452.333372055722
4.050513414928762,159247.86139253498,23887.179208880247,5897.321342237885
3.7852174443660846,146120.49934430988,21918.07490164648,5790.440106490931
2.8580684594522974,117371.35561706137,17605.703342559205,6160.000571131544
4.057251434653234,174949.55550938039,26242.433326407056,6468.032299469739
3.26929889650339,121777.64661894507,18266.64699284176,5587.328528565703
3.444585216975977,129150.30160113287,19372.54524016993,5624.057475685623
6.402516182224176,289368.56426148524,43405.28463922279,6779.41037614749
